12/30/2020 Display Warehouse Stocks of Material                                       1
---------------------------------------------------------------------------------------------------------------------------
| SLoc|Material  |Material Description          |Batch     |  Unrestr.|   Blocked|Qual.Insp.|   Total Value|   Total Value|
|-------------------------------------------------------------------------------------------------------------------------|
| FPGI|80301531  |PN SH SHEER VOLUME 6 25.4Z    |0326B68700|        0 |        3 |        0 |         0.00 |        19.24 |
| FPGI|80301571  |PN 2N1 CLASSIC CLEAN 4 30.4Z  |9329B687C0|        0 |      124 |        0 |         0.00 |       793.91 |
| FPGI|80301804  |PN CN CLASSIC CLEAN 4 23.7Z   |0299B68700|        0 |        1 |        0 |         0.00 |         4.34 |
| FPGI|80301903  |PN CN DAILY MOIST RENEWAL 4 8 |0297B68700|        1 |        0 |        0 |         4.57 |         0.00 |
| FPGI|80301966  |PN SH REPAIR & PROTECT 4 375ML|0236B68700|        0 |        1 |        0 |         0.00 |         2.79 |
| FPGI|80308578  |BOUNCE SHT FL 6/80 CT         |0094B6870H|        0 |      175 |        0 |         0.00 |       887.57 |
| FPGI|80309091  |BOUNCE SHT ODF 12/34 CT       |0147B6870H|        0 |        2 |        0 |         0.00 |         9.98 |
| FPGI|80314922  |H&S SH CHARCOAL 6 12.8Z       |0300B68700|        0 |        2 |        0 |         0.00 |        10.13 |
| FPGI|80314945  |H&S 2N1 OLD SPICE 6 12.8Z     |0274B68700|        0 |        6 |        0 |         0.00 |        30.13 |
| FPGI|80314951  |H&S SH REFRESHING MENTHOL 4 2 |0316B68700|        0 |        4 |        0 |         0.00 |        20.95 |
| FPGI|80314987  |H&S SH OS SWAGGER 6 12.8Z     |0232B68700|        0 |        1 |        0 |         0.00 |         5.07 |
| FPGI|80314991  |H&S 2N1 OS SWAGGER 4 21.9Z    |0321B68700|        0 |        2 |        0 |         0.00 |        11.19 |
| FPGI|80315825  |H&S SH OS SWAGGER 6 380ML     |0298B68700|        0 |        1 |        0 |         0.00 |         5.07 |
| FPGI|80315846  |H&S SH ITCHY SCALP CARE 6 400 |0314B68700|        0 |        3 |        0 |         0.00 |        15.57 |
| FPGI|80315875  |H&S SH SMOOTH & SILKY 4 650ML |0324B68700|        0 |        1 |        0 |         0.00 |         5.27 |
| FPGI|80316604  |HE SH NK VOL GRPF MN 6 13.5Z  |0271B68700|        0 |        1 |        0 |         0.00 |         4.42 |
| FPGI|80317360  |AU CN MIRACLE MOIST W PMP 4 2 |0319B68701|        0 |        2 |        0 |         0.00 |         9.88 |
| FPGI|80317366  |AU CN MIRACLE VOL W PMP 4 26. |0314B68700|        0 |        4 |        0 |         0.00 |        17.64 |
